road_network = {
	3151 = 3208
	3208 = 3249	
	3249 = 3266	
	3266 = 3366	
	3366 = 3481	
	3481 = 3516	
	3516 = 3633
	3633 = 3746		
	3783 = 3806	
	3806 = 3789	
	3789 = 3706
	3706 = 3679	
	3679 = 3618	
	3618 = 3491	
	3491 = 3455	
	1827 = 1868	
	1868 = 1892	
	1892 = 1965
	1965 = 2010	
	2010 = 2062	
	2010 = 1957	
	2062 = 2063
	2063 = 2111
	2062 = 2122	
	2122 = 5548
	5548 = 2183	
	2183 = 2219	
	2219 = 2278	
	2278 = 2250
	2250 = 2259
	2250 = 2278	
	2211 = 2259
	2211 = 2168	
	2168 = 2097	
	2097 = 2037	
	2037 = 1981
	1981 = 1909
	1909 = 1836	
	2547 = 2609	
	2609 = 2672	
	2664 = 2728	
	2664 = 2693
	2693 = 2769
	2769 = 2892	
	2892 = 3031
	2892 = 3032	
	3031 = 3112	
	3112 = 3212	
	3212 = 3254	
	3254 = 3331
	3331 = 3408
	3408 = 3564	
	4033 = 4104
	3564 = 3686
	3686 = 3764	
	3764 = 3851	
	3851 = 4033	
	4033 = 4148	
	4148 = 4238
	4238 = 4333
	4333 = 4334	
	4333 = 4433	
	4433 = 4588	
	4588 = 4624	
	4624 = 4627	
	4627 = 4659
	4659 = 4695
	4695 = 4700		
	4695 = 4638	
	4638 = 4572	
	4700 = 4701	
	4701 = 4708	
	4708 = 4696
	4696 = 4756
	4756 = 4809
	4809 = 4727
	4727 = 4643
	4809 = 4810
	4810 = 4834
	4834 = 4784
	4834 = 4857
	4857 = 4858	
	2609 = 2664	
	2664 = 2677	
	2672 = 2655
	2655 = 2547	
	2677 = 2672
	2672 = 2737
	2655 = 2735
	2735 = 2805
	2775 = 2728
	2775 = 2693
	2775 = 2769
	2775 = 2791
	2728 = 2780	
	2780 = 2791	
	2780 = 2907
	2907 = 3034
	2780 = 2837
	2837 = 2852	
	2852 = 2805	
	2805 = 2901	
	2901 = 2921	
	2921 = 2986	
	2986 = 3082
	3082 = 3125
	3125 = 3238		
	3238 = 3245	
	3245 = 3309	
	3309 = 3360	
	3360 = 3388	
	3388 = 3480
	3480 = 3412	
	3412 = 3505	
	3505 = 3454	
	3454 = 3529
	3454 = 3419
	3419 = 3459	
	3529 = 3622	
	3622 = 3735	
	3735 = 3810	
	3810 = 3909	
	3909 = 3986
	3459 = 3414
	3414 = 3466		
	3466 = 3579	
	3579 = 3652	
	3652 = 3727	
	3727 = 3759	
	2720 = 2701	
	2720 = 2774	
	2774 = 2701		
	2701 = 2630
	2630 = 2562
	2562 = 2511	
	2511 = 2487	
	2487 = 2561		
	2561 = 2510
	2510 = 2457	
	2457 = 2466	
	2457 = 2422	
	2422 = 2384		
	2384 = 2347
	2347 = 2293
	2293 = 2265	
	2774 = 2900	
	2774 = 2956	
	2900 = 2956		
	2956 = 3072
	3072 = 3142
	3142 = 3185
	3185 = 3270	
	3270 = 3142	
	3270 = 3302	
	3302 = 3382		
	3382 = 3521
	1032 = 1035
	1035 = 1013
	1013 = 966
	966 = 888
	966 = 919
	744 = 724
	745 = 744
	745 = 702
	702 = 664
	664 = 631
	631 = 568
	420 = 426
	426 = 431
	425 = 410
	410 = 403
	403 = 393
	431 = 451
	451 = 459
	459 = 465
	465 = 495
	651 = 626
	626 = 643
	626 = 566
	566 = 550
	550 = 510
	510 = 495
	643 = 637
	637 = 621
	621 = 662
	1253 = 1219
	1219 = 1197
	1197 = 1178
	1178 = 1163
	960 = 1007
	1007 = 1049
	105 = 97
	97 = 111
	111 = 125
	125 = 133
	133 = 142
	360 = 345
	345 = 321
	321 = 318
	869 = 898
	898 = 925
	925 = 954
	954 = 882
	882 = 820
	482 = 456
	456 = 454
	454 = 450
	454 = 478
	478 = 489
	489 = 470
	470 = 504
	845 = 819
	819 = 762
	762 = 707
	707 = 653
	653 = 675
	675 = 685
	685 = 748
	1839 = 1787
	1787 = 1793
	1793 = 1756
	2260 = 2297
	2297 = 2315
	2461 = 2553
	3543 = 3502
	5031 = 5006
	5006 = 5017
	5017 = 4961
	4961 = 4921
	4921 = 4864
	4255 = 4175
	4175 = 4041
	4041 = 3966
	3966 = 3877
	4271 = 4233
	4233 = 4191
	4135 = 4096
	4096 = 4000
	4000 = 3930
	3930 = 3916
	3916 = 3874
	3874 = 3824
	3824 = 3808
	3446 = 3464
	3464 = 3488
	3314 = 3351
	3351 = 3386
	3386 = 3404
	3404 = 3373
	3304 = 3323
	3323 = 3381
	3381 = 3427
	2712 = 2788
	2788 = 2804
	2804 = 2849
	2849 = 2871
	2804 = 2755
	2755 = 2704
	2372 = 2373
	2373 = 2381
	2381 = 2449
	2381 = 2317
	2317 = 2310
	2310 = 2277
	2277 = 2242
	2242 = 2198
	2449 = 2509
	2943 = 2889
	2994 = 2964
	2964 = 2818 
	2964 = 2867
	2867 = 2843
	942 = 875
	875 = 814
	814 = 791
	791 = 709
	709 = 662
	5660 = 5662
	5662 = 5663
	5663 = 5665
	5665 = 5666
	1889 = 1924
	1924 = 1996
	1996 = 2032
	2108 = 2241
	2241 = 2314
	2314 = 2407
	3231 = 3198
	3198 = 3172
	3172 = 3221
	3221 = 3236
	2559 = 2590
	2590 = 2651
	2651 = 2687
	2687 = 2669
	2669 = 2581
	5607 = 5606
	5607 = 5609
	5606 = 5605
	1641 = 1654
	# New World generated first-pass roads
	72 = 75
	72 = 92
	75 = 79
	79 = 108
	90 = 108
	90 = 122
	122 = 132
	132 = 159
	159 = 229
	180 = 225
	205 = 225
	205 = 247
	226 = 271
	226 = 280
	229 = 246
	229 = 279
	246 = 289
	247 = 271
	247 = 276
	276 = 356
	279 = 328
	280 = 324
	289 = 303
	303 = 305
	305 = 326
	305 = 347
	326 = 328
	326 = 347
	328 = 340
	340 = 366
	347 = 369
	356 = 397
	366 = 385
	369 = 390
	385 = 404
	390 = 406
	397 = 424
	404 = 434
	406 = 452
	412 = 444
	424 = 486
	434 = 463
	444 = 503
	452 = 473
	463 = 483
	473 = 508
	476 = 508
	486 = 506
	490 = 506
	490 = 513
	503 = 533
	508 = 585
	513 = 532
	532 = 564
	533 = 553
	548 = 597
	553 = 583
	562 = 564
	562 = 582
	582 = 633
	582 = 679
	583 = 605
	597 = 605
	597 = 647
	609 = 624
	609 = 630
	624 = 694
	630 = 633
	647 = 706
	667 = 694
	667 = 717
	687 = 740
	706 = 728
	706 = 735
	717 = 755
	728 = 777
	728 = 794
	735 = 737
	737 = 800
	740 = 850
	755 = 817
	777 = 812
	794 = 837
	800 = 865
	812 = 884
	817 = 871
	837 = 879
	850 = 932
	865 = 884
	871 = 999
	879 = 953
	893 = 1023
	932 = 1115
	953 = 1000
	988 = 1023
	988 = 1112
	999 = 1065
	1000 = 1019
	1019 = 1080
	1023 = 1068
	1064 = 1068
	1064 = 1081
	1065 = 1151
	1079 = 1107
	1080 = 1084
	1081 = 1084
	1107 = 1211
	1112 = 1116
	1115 = 1140
	1116 = 1184
	1140 = 1194
	1151 = 1224
	1184 = 1238
	1186 = 1202
	1194 = 1206
	1202 = 1205
	1205 = 1206
	1211 = 1269
	1216 = 1233
	1216 = 1268
	1224 = 1233
	1238 = 1299
	1268 = 1281
	1269 = 1343
	1286 = 1315
	1299 = 1341
	1306 = 1315
	1306 = 1343
	1341 = 1372
	1343 = 1370
	1370 = 1418
	1372 = 1400
	1400 = 1422
	1418 = 1465
	1422 = 1563
	1465 = 1513
	1513 = 1593
	1535 = 1542
	1535 = 1591
	1542 = 1606
	1563 = 1635
	1590 = 1606
	1590 = 1624
	1591 = 1598
	1593 = 1658
	1598 = 1612
	1612 = 1644
	1624 = 1658
	1635 = 1696
	1644 = 1721
	1647 = 1696
	1658 = 1728
	1721 = 1797
	1728 = 1807
	1747 = 1770
	1770 = 1809
	1770 = 1818
	1807 = 1898
	1809 = 1934
	1818 = 1823
	1823 = 1873
	1873 = 2019
	1898 = 2023
	1898 = 2197
	1934 = 2059
	1993 = 2091
	2019 = 2068
	2023 = 2129
	2068 = 2093
	2091 = 2195
	2093 = 2221
	2129 = 2196
	2176 = 2196
	2176 = 2233
	2195 = 2226
	2197 = 2257
	2201 = 2205
	2201 = 2233
	2202 = 2221
	2202 = 2291
	2205 = 2226
	2257 = 2286
	2291 = 2430
	2430 = 2619
	2600 = 2667
	2600 = 2745
	2619 = 2836
	2653 = 2660
	2653 = 2716
	2660 = 2674
	2667 = 2716
	2674 = 2703
	2703 = 2741
	2741 = 2841
	2745 = 2840
	2836 = 3007
	2840 = 2848
	2841 = 2991
	2848 = 2955
	2955 = 3061
	2991 = 3195
	3007 = 3129
	3041 = 3174
	3061 = 3140
	3129 = 3166
	3129 = 3234
	3166 = 3196
	3174 = 3279
	3195 = 3350
	3234 = 3344
	3279 = 3379
	3344 = 3424
	3350 = 3531
	3379 = 3524
	3424 = 3477
	3477 = 3612
	3524 = 3714
	3531 = 3642
	3612 = 3721
	3642 = 3964
	3714 = 3818
	3721 = 3770
	3770 = 3863
	3776 = 3807
	3798 = 3807
	3798 = 3856
	3818 = 3901
	3856 = 3964
	3863 = 3990
	3901 = 3935
	3935 = 4083
	3990 = 4052
	4052 = 4166
	4052 = 4249
	4074 = 4116
	4074 = 4205
	4074 = 4285
	4083 = 4116
	4166 = 4205
	4249 = 4428
	4285 = 4390
	4360 = 4511
	4390 = 4598
	4428 = 4605
	4471 = 4511
	4471 = 4526
	4506 = 4511
	4506 = 4529
	4511 = 4611
	4526 = 4733
	4529 = 4754
	4598 = 4724
	4605 = 4724
	4611 = 4657
	4657 = 4733
	4733 = 4793
	4733 = 4838
	4742 = 4793
	4742 = 4802
	4753 = 4754
	4753 = 4802
	4838 = 4973
	4973 = 5050
	4992 = 5035
	5035 = 5087
	5050 = 5150
	5087 = 5146
	5125 = 5160
	5125 = 5250
	5146 = 5182
	5150 = 5185
	5160 = 5162
	5160 = 5185
	5162 = 5205
	5182 = 5204
	5182 = 5241
	5204 = 5287
	5205 = 5238
	5222 = 5234
	5222 = 5250
	5238 = 5274
	5241 = 5272
	5272 = 5292
	5272 = 5306
	5274 = 5291
	5287 = 5306
	5291 = 5343
	5292 = 5338
	5338 = 5386
	5386 = 5424
	5403 = 5423
	5423 = 5463
	5424 = 5464
	5454 = 5463
	5454 = 5485
	5464 = 5482
	5482 = 5488
	5485 = 5499
	5486 = 5487
	5486 = 5500
	5487 = 5488
	5494 = 5497
	5494 = 5505
	5497 = 5511
	5499 = 5516
	5500 = 5501
	5501 = 5517
	5505 = 5517
	5511 = 5516

}
